Language	Lambda	Quantile	Samples
French	0.2	1.0	55
French	0.22	1.0	55
French	0.24	1.0	55
French	0.26	1.0	55
French	0.28	1.0	55
French	0.3	1.0	55
French	0.32	1.0	55
French	0.34	1.0	55
French	0.36	1.0	55
French	0.38	1.0	55
French	0.4	1.0	55
French	0.42	1.0	55
French	0.44	1.0	55
French	0.46	1.0	55
French	0.48	1.0	55
French	0.5	1.0	55
French	0.52	1.0	55
French	0.54	1.0	55
French	0.56	1.0	55
French	0.58	1.0	55
French	0.6	1.0	55
French	0.62	1.0	55
French	0.64	1.0	55
French	0.66	1.0	55
French	0.68	1.0	55
French	0.7	1.0	55
French	0.72	1.0	55
French	0.74	1.0	55
French	0.76	1.0	55
French	0.78	1.0	55
French	0.8	1.0	55
French	0.82	1.0	55
French	0.84	1.0	55
French	0.86	1.0	55
